1,"Monday, January 5, 4511",23429,197,279,37,6,925
2,"Friday, January 16, 4511",5047,171,66,26,14,210
3,"Tuesday, January 27, 4511",35788,51,55,65,22,185
4,"Saturday, February 7, 4511",27440,77,171,16,30,147
5,"Wednesday, February 18, 4511",27346,147,183,32,49,72
6,"Sunday, March 1, 4511",10918,6,175,50,49,199
7,"Thursday, March 12, 4511",26461,87,151,4,12,42
8,"Monday, March 23, 4511",13380,69,10,56,29,235
9,"Friday, April 3, 4511",26353,240,78,84,37,228
10,"Tuesday, April 14, 4511",36035,160,35,49,44,177
11,"Saturday, April 25, 4511",448,71,109,66,41,157
12,"Wednesday, May 6, 4511",30012,74,60,46,15,106
13,"Sunday, May 17, 4511",29395,153,229,80,48,138
14,"Thursday, May 28, 4511",17216,41,111,25,6,219
15,"Monday, June 8, 4511",8334,9,46,42,48,29
16,"Friday, June 19, 4511",2441,50,64,13,44,89
17,"Tuesday, June 30, 4511",30111,172,214,47,26,210
18,"Saturday, July 11, 4511",22900,91,113,77,21,175
19,"Wednesday, July 22, 4511",24273,57,131,16,39,1
20,"Sunday, August 2, 4511",23331,90,23,64,26,74
21,"Thursday, August 13, 4511",36231,223,68,42,17,44
22,"Monday, August 24, 4511",26634,21,108,17,39,47
23,"Friday, September 4, 4511",22422,129,48,96,31,150
24,"Tuesday, September 15, 4511",950,232,33,12,43,115
25,"Saturday, September 26, 4511",16739,153,55,88,14,142
26,"Wednesday, October 7, 4511",26513,233,92,23,12,206
27,"Sunday, October 18, 4511",32891,109,102,23,35,24
28,"Thursday, October 29, 4511",21366,182,161,36,39,242
29,"Monday, November 9, 4511",10530,117,23,49,36,179
30,"Sunday, November 15, 4511",25890,141,222,36,36,101
31,"Tuesday, December 1, 4511",21666,156,99,61,1,230
32,"Saturday, December 12, 4511",31459,116,142,77,13,230
33,"Wednesday, December 23, 4511",7919,29,89,63,10,111
34,"Sunday, January 3, 4512",20403,53,163,49,14,43
35,"Thursday, January 14, 4512",16870,136,127,35,7,61
36,"Monday, January 25, 4512",24465,172,32,67,17,13
37,"Friday, February 5, 4512",39019,113,31,43,33,239
38,"Tuesday, February 16, 4512",17333,203,48,24,11,28
39,"Saturday, February 27, 4512",5484,112,243,68,2,59
40,"Wednesday, March 9, 4512",33251,208,136,75,33,5
41,"Tuesday, March 15, 4512",38554,209,31,4,7,140
42,"Thursday, March 31, 4512",10286,186,125,37,6,46
43,"Monday, April 11, 4512",27890,76,52,29,43,206
44,"Friday, April 22, 4512",8574,189,15,95,44,211
45,"Tuesday, May 3, 4512",38866,209,166,14,26,242
46,"Saturday, May 14, 4512",2216,235,174,36,22,75
47,"Wednesday, May 25, 4512",30677,202,136,22,22,143
48,"Sunday, June 5, 4512",6432,13,197,94,27,218
49,"Thursday, June 16, 4512",15300,39,161,40,3,71
50,"Monday, June 27, 4512",2892,136,26,24,29,164
51,"Friday, July 8, 4512",39325,208,3,30,32,151
52,"Tuesday, July 19, 4512",5688,235,133,57,7,6
53,"Saturday, July 30, 4512",28577,112,62,33,31,235
54,"Wednesday, August 10, 4512",14105,8,118,44,23,138
55,"Sunday, August 21, 4512",4509,203,98,47,41,181
56,"Thursday, September 1, 4512",8543,177,5,31,33,89
57,"Monday, September 12, 4512",31508,53,34,50,43,243
58,"Friday, September 23, 4512",7205,85,241,63,18,36
59,"Tuesday, October 4, 4512",8689,141,138,27,48,115
60,"Saturday, October 15, 4512",22603,134,113,37,9,233
61,"Wednesday, October 26, 4512",15609,49,229,3,15,5
62,"Sunday, November 6, 4512",29734,190,133,2,44,181
63,"Thursday, November 17, 4512",12203,16,29,36,1,222
64,"Monday, November 28, 4512",11065,176,80,21,40,218
65,"Friday, December 9, 4512",36423,166,64,96,33,192
66,"Thursday, December 15, 4512",6661,136,148,4,45,169
67,"Saturday, December 31, 4512",21194,58,56,34,38,191
68,"Wednesday, January 11, 4513",7452,120,90,45,28,173
69,"Sunday, January 22, 4513",11279,118,76,71,25,64
70,"Thursday, February 2, 4513",332,73,219,16,28,52
71,"Monday, February 13, 4513",13137,198,137,45,24,78
72,"Friday, February 24, 4513",12171,135,166,65,26,195
73,"Tuesday, March 7, 4513",10540,198,37,39,11,77
74,"Saturday, March 18, 4513",7131,166,159,69,12,38
75,"Wednesday, March 29, 4513",15640,72,83,50,16,79
76,"Sunday, April 9, 4513",14617,134,236,29,38,133
77,"Saturday, April 15, 4513",14290,210,169,85,26,150
78,"Monday, May 1, 4513",14664,6,209,43,19,201
79,"Friday, May 12, 4513",34319,159,141,65,28,192
80,"Tuesday, May 23, 4513",9918,210,3,96,1,214
81,"Saturday, June 3, 4513",6862,234,219,61,20,233
82,"Wednesday, June 14, 4513",1344,84,18,96,31,103
83,"Sunday, June 25, 4513",28430,227,86,4,43,73
84,"Thursday, July 6, 4513",4753,63,224,38,31,185
85,"Monday, July 17, 4513",30872,147,150,71,27,67
86,"Friday, July 28, 4513",37166,98,16,76,36,177
87,"Tuesday, August 8, 4513",15879,58,36,77,37,167
88,"Saturday, August 19, 4513",38605,69,78,8,1,218
89,"Wednesday, August 30, 4513",9336,62,60,43,41,93
90,"Sunday, September 10, 4513",8221,16,142,92,19,74
91,"Thursday, September 21, 4513",23842,140,98,40,28,234
92,"Monday, October 2, 4513",16276,55,50,83,18,36
93,"Friday, October 13, 4513",10205,99,165,29,38,68
94,"Tuesday, October 24, 4513",13402,42,191,33,1,216
95,"Saturday, November 4, 4513",24880,91,194,61,47,139
96,"Wednesday, November 15, 4513",25038,233,33,86,8,150
97,"Sunday, November 26, 4513",39288,88,66,97,40,33
98,"Thursday, December 7, 4513",2326,189,95,9,38,104
99,"Monday, December 18, 4513",19514,185,51,8,13,22
100,"Friday, December 29, 4513",10130,226,74,73,22,204
101,"Tuesday, January 9, 4514",18616,34,107,97,44,74
102,"Monday, January 15, 4514",16707,48,195,79,44,147
103,"Wednesday, January 31, 4514",17369,74,199,28,14,52
104,"Sunday, February 11, 4514",30508,15,9,76,32,142
105,"Thursday, February 22, 4514",34360,136,65,2,33,63
106,"Monday, March 5, 4514",27239,145,20,41,38,121
107,"Friday, March 16, 4514",33610,173,4,46,22,229
108,"Tuesday, March 27, 4514",22622,76,186,92,39,229
109,"Saturday, April 7, 4514",23224,49,178,25,7,15
110,"Wednesday, April 18, 4514",30718,234,96,15,47,188
111,"Sunday, April 29, 4514",9153,93,158,6,39,229
112,"Thursday, May 10, 4514",36026,172,105,19,45,76
113,"Monday, May 21, 4514",8041,185,61,40,49,4
114,"Friday, June 1, 4514",275,152,68,90,24,55
115,"Tuesday, June 12, 4514",26196,146,65,34,21,29
116,"Saturday, June 23, 4514",9370,41,65,48,46,167
117,"Wednesday, July 4, 4514",659,99,63,40,8,146
118,"Sunday, July 15, 4514",23441,47,138,71,46,101
119,"Thursday, July 26, 4514",13812,130,155,99,40,215
120,"Monday, August 6, 4514",22785,199,79,36,35,98
121,"Friday, August 17, 4514",28141,63,98,75,33,76
122,"Tuesday, August 28, 4514",23272,37,4,54,19,91
123,"Saturday, September 8, 4514",36954,107,183,79,41,49
124,"Wednesday, September 19, 4514",12558,79,178,16,10,227
125,"Sunday, September 30, 4514",18429,162,116,7,32,174
126,"Thursday, October 11, 4514",8555,21,145,69,44,47
127,"Monday, October 22, 4514",13492,29,27,22,11,138
128,"Friday, November 2, 4514",25813,196,222,39,22,138
129,"Tuesday, November 13, 4514",38913,171,4,40,4,235
130,"Saturday, November 24, 4514",38705,16,45,46,5,174
131,"Wednesday, December 5, 4514",18540,115,145,90,2,165
132,"Sunday, December 16, 4514",34447,67,202,40,6,50
133,"Thursday, December 27, 4514",10893,122,204,79,45,100
134,"Monday, January 7, 4515",3319,90,66,26,38,99
135,"Friday, January 18, 4515",29842,16,10,16,16,86
136,"Tuesday, January 29, 4515",30435,9,13,90,12,146
137,"Saturday, February 9, 4515",28139,226,149,44,15,16
138,"Friday, February 15, 4515",6835,126,225,99,43,222
139,"Sunday, March 3, 4515",16957,96,100,84,1,117
140,"Thursday, March 14, 4515",26138,153,35,24,6,200
141,"Monday, March 25, 4515",35752,51,168,93,27,4
142,"Friday, April 5, 4515",34585,68,48,22,43,15
143,"Tuesday, April 16, 4515",21944,124,42,95,28,232
144,"Saturday, April 27, 4515",39212,199,125,97,33,195
145,"Wednesday, May 8, 4515",16033,149,160,81,31,139
146,"Sunday, May 19, 4515",9812,205,196,87,34,71
147,"Thursday, May 30, 4515",31929,222,99,63,22,114
148,"Monday, June 10, 4515",8403,186,239,40,23,230
149,"Friday, June 21, 4515",4729,10,184,39,32,49
150,"Tuesday, July 2, 4515",11928,193,113,59,30,210
151,"Saturday, July 13, 4515",36183,21,108,88,10,166
152,"Wednesday, July 24, 4515",16369,198,217,69,38,164
153,"Sunday, August 4, 4515",23278,234,40,73,32,217
154,"Thursday, August 15, 4515",27103,10,103,23,22,31
155,"Monday, August 26, 4515",1413,96,85,76,24,216
156,"Friday, September 6, 4515",36611,59,89,15,10,112
157,"Tuesday, September 17, 4515",32523,76,76,38,17,78
158,"Saturday, September 28, 4515",20220,99,16,67,15,70
