1,1,851
2,22,673
3,60,166
4,81,214
5,119,206
6,140,64
7,178,26
8,199,106
9,237,367
10,258,251
11,296,89
12,317,347
13,354,786
14,375,148
15,413,861
16,434,172
17,471,734
18,492,985
19,530,162
20,551,576
21,589,415
22,610,175
23,648,246
24,669,56
25,707,200
26,728,55
27,766,279
28,787,617
29,825,706
30,846,667
31,884,945
32,905,733
33,942,509
34,963,936
35,11,45
36,13,991
37,70,878
38,72,384
39,129,518
40,131,312
41,188,465
42,190,994
43,247,993
44,249,291
45,306,683
46,308,163
47,364,637
48,366,263
49,423,490
50,425,800
51,481,113
52,483,247
53,540,529
54,542,656
55,599,965
56,601,276
57,658,528
58,660,837
59,717,346
60,719,107
61,776,994
62,778,918
63,835,67
64,837,394
65,894,554
66,896,256
67,952,650
68,954,878
69,21,565
70,26,423
71,33,709
72,39,733
73,80,456
74,85,919
75,92,665
76,98,782
77,139,169
78,144,808
79,151,729
80,157,99
81,198,334
82,203,255
83,210,593
84,216,670
85,257,77
86,262,390
87,269,283
88,275,61
89,316,334
90,321,263
91,328,544
92,334,236
93,374,931
94,379,486
95,386,816
96,392,283
97,433,793
98,438,133
99,445,572
100,451,457
101,491,301
102,496,718
103,503,130
104,509,810
105,550,156
106,555,801
107,562,394
108,568,763
109,609,699
110,614,23
111,621,166
112,627,184
113,668,374
114,673,768
115,680,345
116,686,353
117,727,890
118,732,755
119,739,99
120,745,370
121,786,117
122,791,414
123,798,863
124,804,993
125,845,913
126,850,220
127,857,539
128,863,687
129,904,370
130,909,378
131,916,303
132,922,203
133,962,954
134,967,55
135,974,17
136,980,385
137,30,289
138,37,827
139,89,904
140,96,959
141,148,466
142,155,700
143,207,145
144,214,783
145,266,254
146,273,515
147,325,230
148,332,592
149,383,797
150,390,662
151,442,47
152,449,161
153,500,440
154,507,371
155,559,24
156,566,235
157,618,79
158,625,446
159,677,507
160,684,593
161,736,894
162,743,618
163,795,433
164,802,560
165,854,498
166,861,653
167,913,796
168,920,430
169,971,174
170,978,828
171,8,536
172,14,832
173,67,518
174,73,57
175,126,82
176,132,565
177,185,580
178,191,131
179,244,526
180,250,160
181,303,74
182,309,305
183,361,171
184,367,795
185,420,77
186,426,545
187,478,740
188,484,357
189,537,60
190,543,328
191,596,963
192,602,305
193,655,530
194,661,269
195,714,773
196,720,73
197,773,178
198,779,500
199,832,162
200,838,18
201,891,568
202,897,80
203,949,656
204,955,428
205,17,550
206,32,610
207,76,158
208,91,947
209,135,914
210,150,655
211,194,100
212,209,951
213,253,455
214,268,649
215,312,388
216,327,515
217,370,718
218,385,280
219,429,852
220,444,925
221,487,446
222,502,922
223,546,851
224,561,928
225,605,486
226,620,72
227,664,156
228,679,161
229,723,845
230,738,28
231,782,194
232,797,196
233,841,386
234,856,14
235,900,933
236,915,362
237,958,542
238,973,665
239,2,401
240,61,641
241,120,398
242,179,397
243,238,399
244,297,527
245,355,714
246,414,704
247,472,885
248,531,108
249,590,999
250,649,946
251,708,390
252,767,677
253,826,11
254,885,794
255,943,259
256,3,314
257,62,480
258,121,923
259,180,20
260,239,552
261,298,461
262,356,351
263,415,354
264,473,561
265,532,820
266,591,255
267,650,795
268,709,221
269,768,781
270,827,545
271,886,102
272,944,687
273,4,212
274,7,863
275,63,420
276,66,247
277,122,934
278,125,366
279,181,89
280,184,391
281,240,406
282,243,783
283,299,562
284,302,890
285,357,714
286,360,830
287,416,160
288,419,78
289,474,446
290,477,727
291,533,729
292,536,610
293,592,559
294,595,446
295,651,846
296,654,962
297,710,702
298,713,743
299,769,24
300,772,193
301,828,16
302,831,534
303,887,446
304,890,931
305,945,205
306,948,530
307,5,165
308,64,573
309,123,188
310,182,780
311,241,681
312,300,381
313,358,528
314,417,540
315,475,767
316,534,123
317,593,858
318,652,19
319,711,485
320,770,629
321,829,622
322,888,259
323,946,243
324,10,224
325,12,288
326,69,592
327,71,482
328,128,898
329,130,317
330,187,635
331,189,112
332,246,283
333,248,993
334,305,102
335,307,865
336,363,535
337,365,261
338,422,391
339,424,718
340,480,650
341,482,525
342,539,75
343,541,915
344,598,471
345,600,585
346,657,427
347,659,902
348,716,426
349,718,123
350,775,751
351,777,864
352,834,346
353,836,269
354,893,499
355,895,601
