1,829
2,25
3,568
4,520
5,394
6,157
7,798
8,294
9,145
10,868
11,376
12,321
13,153
14,317
15,47
16,515
17,803
18,83
19,104
20,498
21,65
22,536
23,268
24,792
25,966
26,817
27,563
28,776
29,662
30,402
31,553
32,332
33,497
34,777
35,64
36,985
37,438
38,640
39,606
40,716
41,986
42,380
43,386
44,959
45,842
46,147
47,129
48,591
49,594
50,450
51,443
52,799
53,327
54,247
55,427
56,736
57,963
58,91
59,500
60,342
61,762
62,326
63,37
64,752
65,256
66,807
67,310
68,565
69,882
70,133
71,612
72,399
73,967
74,99
75,112
76,880
77,167
78,542
79,837
80,10
81,401
82,951
83,958
84,883
85,21
86,344
87,180
88,968
89,707
90,510
91,382
92,30
93,398
94,170
95,213
96,74
97,308
98,164
99,674
100,6
101,155
102,226
103,607
104,700
105,151
106,818
107,946
108,870
109,864
110,969
111,849
112,225
113,46
114,168
115,661
116,114
117,870
118,231
119,766
120,138
121,255
122,928
123,306
124,617
125,6
126,604
127,883
128,174
129,4
130,554
131,892
132,279
133,44
134,263
135,249
136,17
137,266
138,425
139,30
140,599
141,433
142,541
143,720
144,111
145,755
146,242
147,721
148,33
149,962
150,16
151,485
152,30
153,890
154,94
155,204
156,548
157,213
158,576
159,694
160,857
161,193
162,412
163,92
164,130
165,502
166,462
167,571
168,165
169,377
170,787
171,276
172,398
173,712
174,19
175,805
176,822
177,525
178,467
179,26
180,538
181,704
182,343
183,574
184,861
185,687
186,638
187,341
188,48
189,528
190,345
191,862
192,473
193,224
194,240
195,587
196,359
197,774
198,197
199,883
200,509
201,255
202,872
203,433
204,311
205,26
206,869
207,225
208,830
209,1
210,420
211,477
212,25
213,397
214,149
215,11
216,146
217,818
218,914
219,845
220,494
221,492
222,292
223,482
224,567
225,107
226,600
227,486
228,877
229,854
230,952
231,389
232,719
233,803
234,489
235,13
236,253
237,369
238,427
239,93
240,331
241,214
242,913
243,208
244,486
245,96
246,862
247,232
248,691
249,925
250,492
251,812
252,30
253,85
254,66
255,380
256,874
257,407
258,550
259,75
260,261
261,690
262,367
263,814
264,508
265,512
266,135
267,321
268,282
269,793
