1,638,1100,"Hyper Drives, Stabilizers"
2,311,1101,"Medical Unit, Nav Computers"
3,21,1102,Droids
4,983,1103,"Fusion Reactors, Plasma Conduits"
5,83,1104,"Ion Thrusters, Gyroscopic Stabilizers"
6,64,1105,"Shield Generators, Energy Capacitors"
7,722,1106,"Laser Cannons, Targeting Systems"
8,800,1107,"Gravity Compensators, Inertial Dampeners"
9,101,1108,"Communication Arrays, Sensor Arrays"
10,994,1109,"Life Support Systems, Oxygen Recyclers"
11,416,1110,"Repulsorlift Engines, Landing Gear Assembly"
12,321,1111,"Warp Coils, Quantum Relays"
13,286,1112,"Fusion Reactors, Plasma Injectors"
14,552,1113,"Quantum Shields, Magnetic Field Generators"
15,635,1114,"Navigation Systems, Astrogation Charts"
16,790,1115,"Robotics, Cybernetic Enhancements"
17,555,1116,"Repulsorlift Engines, Anti-gravity Thrusters"
18,200,1117,"Tractor Beams, Graviton Projectors"
19,817,1118,"Chrono-Drives, Time Dilation Units"
20,389,1119,"Cryo-Pods, Cryogenic Storage Units"
21,540,1120,"Energy Cells, Power Converters"
22,99,1121,"Sonic Disruptors, Sonic Nullifiers"
23,874,1122,"Phase Shifters, Dimensional Anchors"
24,483,1123,"Gravitational Manipulators, Warp Field Inducers"
25,350,1124,"Antimatter Injectors, Antimatter Containment Units"
26,440,1125,"Neural Interface Modules, Brainwave Analyzers"
27,79,1126,"Gravity Plating, Artificial Gravity Generators"
28,754,1127,"Subspace Transceivers, Quantum Entanglement Communicators"
29,56,1128,"Magnetic Resonance Scanners, Molecular Scanners"
30,747,1129,"Kinetic Energy Projectors, Railguns"
31,99,1130,"Nanobot Swarms, Nanite Fabricators"
32,117,1131,"Holographic Projectors, Holochambers"
33,997,1132,"Neutrino Detectors, Neutrino Shields"
34,533,1133,"Thermal Regulators, Heat Dissipation Systems"
35,811,1134,"Quantum Encryption Devices, Secure Data Vaults"
36,468,1135,"Quantum Resonators, Temporal Flux Modulators"
37,925,1136,"Plasma Thrusters, Ionic Accelerators"
38,22,1137,"Molecular Phase Shifters, Quantum Waveguides"
39,471,1138,"Chrono-Drives, Time Warp Cores"
40,18,1139,"Hyper-dimensional Transmitters, Subspace Antennas"
41,388,1140,"Gravitic Repulsors, Anti-gravity Plating"
42,156,1141,"Photon Torpedoes, Quantum Phasers"
43,360,1142,"Nanotech Repair Systems, Self-replicating Nanobots"
44,894,1143,"Biometric Scanners, DNA Sequencers"
45,679,1144,"Quantum Entanglement Drives, Spacetime Manipulators"
46,282,1145,"Singularity Generators, Black Hole Containment Units"
47,131,1146,"Ethereal Shielding Arrays, Void Energy Siphons"
48,484,1147,"Dimensional Anchors, Reality Stabilizers"
49,197,1148,"Quantum Encryption Modules, Secure Data Vaults"
50,507,1149,"Nanite Regeneration Chambers, Tissue Regenerators"
51,440,1150,"Holomatrix Projectors, Augmented Reality Interfaces"
52,997,1151,"Subspace Disruptors, Interdimensional Rift Generators"
53,434,1152,"Graviton Wave Emitters, Mass Manipulation Fields"
54,674,1153,"Chrono-algorithms, Time Dilation Matrices"
55,850,1154,"Null-space Injectors, Negative Energy Dampeners"
56,428,1155,"Neutrino Scanners, Neutrino Diffusion Arrays"
57,907,1156,"Gravitic Anchors, Magnetic Nullifiers"
58,522,1157,"Quantum Field Destabilizers, Quantum Harmonic Resonators"
59,334,1158,"Temporal Inversion Cores, Paradox Stabilizers"
60,216,1159,"Hyperspace FTL Drives, Warp Bubble Generators"
61,831,1160,"Transwarp Conduits, Quantum Slipstream Cores"
62,535,1161,"Subspace Relays, Tachyon Pulse Generators"
63,525,1162,"Antimatter Reactors, Antimatter Containment Fields"
64,932,1163,"Quantum Computing Arrays, Superposition Processors"
65,100,1164,"Gravitational Lensing Arrays, Wormhole Stabilizers"
66,425,1165,"Quantum Data Storage Arrays, Entanglement Data Networks"
67,698,1166,"Neutronium Plating, Neutron Star Alloys"
68,395,1167,"Chronal Regulators, Temporal Flux Capacitors"
69,609,1168,"Tachyon Scanners, Tachyon Amplifiers"
70,381,1169,"Dark Matter Injectors, Dark Energy Siphons"
71,861,1170,"Antigravitic Repulsors, Graviton Pulse Generators"
72,8,1171,"Photonic Disruptors, Lightwave Resonators"
73,12,1172,"Psionic Amplifiers, Psychic Resonance Chambers"
74,816,1173,"Quasar Induction Arrays, Gamma Ray Emitters"
75,723,1174,"Subatomic Particle Accelerators, Subspace Fold Generators"
76,635,1175,"Celestial Navigation Systems, Stellar Cartography Units"
77,794,1176,"Planetary Repulsors, Atmospheric Stabilizers"
78,105,1177,"Void Energy Converters, Void Rift Stabilizers"
79,38,1178,"Quantum Harmonic Consoles, Wavefunction Modulators"
80,126,1179,"Trans-dimensional Gateways, Interstellar Portals"
81,609,1180,"Singularity Drives, Event Horizon Detectors"
82,431,1181,"Nanocarbon Weave, Molecular Bonding Fabricators"
83,74,1182,"Teleportation Arrays, Teleportation Beacons"
84,747,1183,"Dimensional Phase Shifters, Dimensional Rift Inducers"
85,552,1184,"Null-gravity Fields, Null-space Anchors"
86,491,1185,"Electro-plasma Conduits, Plasma Regulators"
87,492,1186,"Photonic Shields, Light Manipulation Arrays"
88,39,1187,"Tachyon Inhibitors, Temporal Dampeners"
89,392,1188,"Psionic Resonators, Psychic Amplification Arrays"
90,558,1189,"Gravitic Flux Inhibitors, Graviton Resonance Dampeners"
91,561,1190,"Quantum Phase Modulators, Quantum Field Generators"
92,380,1191,"Subspace Displacement Arrays, Subspace Harmonic Transceivers"
93,311,1192,"Void Energy Sinks, Void Rift Dampeners"
94,156,1193,"Antimatter Reactor Cores, Antimatter Containment Vessels"
95,876,1194,"Quantum Encryption Arrays, Quantum Data Vaults"
96,64,1195,"Temporal Synchronizers, Chrono Harmonic Oscillators"
97,373,1196,"Tachyon Pulse Transmitters, Tachyon Pulse Dampeners"
98,496,1197,"Null-space Coils, Null-space Anchoring Arrays"
99,837,1198,"Psionic Inhibitors, Psychic Nullifiers"
100,254,1199,"Graviton Harmonic Resonators, Gravitic Flux Damp"
101,351,1200,"Hyper Drives, Stabilizers"
102,225,1,"Medical Unit, Nav Computers"
103,238,2,Droids
104,725,3,"Fusion Reactors, Plasma Conduits"
105,46,4,"Ion Thrusters, Gyroscopic Stabilizers"
106,876,5,"Shield Generators, Energy Capacitors"
107,232,6,"Laser Cannons, Targeting Systems"
108,919,7,"Gravity Compensators, Inertial Dampeners"
109,200,8,"Communication Arrays, Sensor Arrays"
110,251,9,"Life Support Systems, Oxygen Recyclers"
111,36,10,"Repulsorlift Engines, Landing Gear Assembly"
112,219,11,"Warp Coils, Quantum Relays"
113,864,12,"Fusion Reactors, Plasma Injectors"
114,654,13,"Quantum Shields, Magnetic Field Generators"
115,911,14,"Navigation Systems, Astrogation Charts"
116,99,15,"Robotics, Cybernetic Enhancements"
117,168,16,"Repulsorlift Engines, Anti-gravity Thrusters"
118,407,17,"Tractor Beams, Graviton Projectors"
119,963,18,"Chrono-Drives, Time Dilation Units"
120,18,19,"Cryo-Pods, Cryogenic Storage Units"
121,939,20,"Energy Cells, Power Converters"
122,76,21,"Sonic Disruptors, Sonic Nullifiers"
123,490,22,"Phase Shifters, Dimensional Anchors"
124,975,23,"Gravitational Manipulators, Warp Field Inducers"
125,947,24,"Antimatter Injectors, Antimatter Containment Units"
126,294,25,"Neural Interface Modules, Brainwave Analyzers"
127,126,26,"Gravity Plating, Artificial Gravity Generators"
128,4,27,"Subspace Transceivers, Quantum Entanglement Communicators"
129,356,28,"Magnetic Resonance Scanners, Molecular Scanners"
130,420,29,"Kinetic Energy Projectors, Railguns"
131,205,30,"Nanobot Swarms, Nanite Fabricators"
132,432,31,"Holographic Projectors, Holochambers"
133,577,32,"Neutrino Detectors, Neutrino Shields"
134,675,33,"Thermal Regulators, Heat Dissipation Systems"
135,83,34,"Quantum Encryption Devices, Secure Data Vaults"
136,926,35,"Quantum Resonators, Temporal Flux Modulators"
137,261,36,"Plasma Thrusters, Ionic Accelerators"
138,527,37,"Molecular Phase Shifters, Quantum Waveguides"
139,862,38,"Chrono-Drives, Time Warp Cores"
140,344,39,"Hyper-dimensional Transmitters, Subspace Antennas"
141,228,40,"Gravitic Repulsors, Anti-gravity Plating"
142,30,41,"Photon Torpedoes, Quantum Phasers"
143,373,42,"Nanotech Repair Systems, Self-replicating Nanobots"
144,764,43,"Biometric Scanners, DNA Sequencers"
145,219,44,"Quantum Entanglement Drives, Spacetime Manipulators"
146,502,45,"Singularity Generators, Black Hole Containment Units"
147,791,46,"Ethereal Shielding Arrays, Void Energy Siphons"
148,680,47,"Dimensional Anchors, Reality Stabilizers"
149,810,48,"Quantum Encryption Modules, Secure Data Vaults"
150,930,49,"Nanite Regeneration Chambers, Tissue Regenerators"
151,835,50,"Holomatrix Projectors, Augmented Reality Interfaces"
152,743,51,"Subspace Disruptors, Interdimensional Rift Generators"
153,571,52,"Graviton Wave Emitters, Mass Manipulation Fields"
154,209,53,"Chrono-algorithms, Time Dilation Matrices"
155,479,54,"Null-space Injectors, Negative Energy Dampeners"
156,105,55,"Neutrino Scanners, Neutrino Diffusion Arrays"
157,174,56,"Gravitic Anchors, Magnetic Nullifiers"
158,661,57,"Quantum Field Destabilizers, Quantum Harmonic Resonators"
159,458,58,"Temporal Inversion Cores, Paradox Stabilizers"
160,363,59,"Hyperspace FTL Drives, Warp Bubble Generators"
161,127,60,"Transwarp Conduits, Quantum Slipstream Cores"
162,721,61,"Subspace Relays, Tachyon Pulse Generators"
163,824,62,"Antimatter Reactors, Antimatter Containment Fields"
164,511,63,"Quantum Computing Arrays, Superposition Processors"
165,758,64,"Gravitational Lensing Arrays, Wormhole Stabilizers"
166,701,65,"Quantum Data Storage Arrays, Entanglement Data Networks"
167,698,66,"Neutronium Plating, Neutron Star Alloys"
168,275,67,"Chronal Regulators, Temporal Flux Capacitors"
169,465,68,"Tachyon Scanners, Tachyon Amplifiers"
170,992,69,"Dark Matter Injectors, Dark Energy Siphons"
171,239,70,"Antigravitic Repulsors, Graviton Pulse Generators"
172,243,71,"Photonic Disruptors, Lightwave Resonators"
173,588,72,"Psionic Amplifiers, Psychic Resonance Chambers"
174,667,73,"Quasar Induction Arrays, Gamma Ray Emitters"
175,471,74,"Subatomic Particle Accelerators, Subspace Fold Generators"
176,212,75,"Celestial Navigation Systems, Stellar Cartography Units"
177,558,76,"Planetary Repulsors, Atmospheric Stabilizers"
178,206,77,"Void Energy Converters, Void Rift Stabilizers"
179,944,78,"Quantum Harmonic Consoles, Wavefunction Modulators"
180,262,79,"Trans-dimensional Gateways, Interstellar Portals"
181,362,80,"Singularity Drives, Event Horizon Detectors"
182,410,81,"Nanocarbon Weave, Molecular Bonding Fabricators"
183,894,82,"Teleportation Arrays, Teleportation Beacons"
184,539,83,"Dimensional Phase Shifters, Dimensional Rift Inducers"
185,9,84,"Null-gravity Fields, Null-space Anchors"
186,16,85,"Electro-plasma Conduits, Plasma Regulators"
187,161,86,"Photonic Shields, Light Manipulation Arrays"
188,614,87,"Tachyon Inhibitors, Temporal Dampeners"
189,545,88,"Psionic Resonators, Psychic Amplification Arrays"
190,681,89,"Gravitic Flux Inhibitors, Graviton Resonance Dampeners"
191,237,90,"Quantum Phase Modulators, Quantum Field Generators"
192,551,91,"Subspace Displacement Arrays, Subspace Harmonic Transceivers"
193,105,92,"Void Energy Sinks, Void Rift Dampeners"
194,742,93,"Antimatter Reactor Cores, Antimatter Containment Vessels"
